"Female","Male","Neutral","Category"
2.0,8.0,1.0,"Corporate"
1.0,8.0,1.0,"Corporate"
1.0,7.0,1.0,"Corporate"
0.0,10.0,1.0,"Corporate"
1.0,7.0,3.0,"Corporate"
1.0,7.0,1.0,"Service"
2.0,6.0,0.0,"Service"
2.0,8.0,1.0,"Service"
1.0,7.0,2.0,"Service"
2.0,7.0,0.0,"Service"
4.0,6.0,1.0,"Service"
4.0,4.0,2.0,"Service"
1.0,8.0,2.0,"Service"
0.0,10.0,0.0,"Service"
1.0,9.0,0.0,"Service"
0.0,10.0,1.0,"Service"
4.0,6.0,1.0,"Service"
4.0,6.0,1.0,"Service"
5.0,5.0,1.0,"Service"
5.0,4.0,2.0,"Healthcare"
5.0,4.0,2.0,"Healthcare"
1.0,8.0,2.0,"Healthcare"
4.0,4.0,3.0,"Healthcare"
2.0,6.0,0.0,"Healthcare"
2.0,7.0,1.0,"Healthcare"
2.0,6.0,2.0,"Healthcare"
4.0,2.0,3.0,"Healthcare"
3.0,5.0,2.0,"Healthcare"
3.0,4.0,3.0,"Healthcare"
1.0,6.0,2.0,"Healthcare"
2.0,7.0,1.0,"Healthcare"
2.0,5.0,1.0,"Healthcare"
2.0,3.0,2.0,"Healthcare"
4.0,2.0,2.0,"Healthcare"
2.0,6.0,1.0,"Healthcare"
3.0,3.0,3.0,"Corporate"
1.0,6.0,2.0,"Corporate"
0.0,7.0,2.0,"Corporate"
0.0,9.0,1.0,"Corporate"
0.0,8.0,1.0,"Corporate"
2.0,6.0,2.0,"Corporate"
3.0,5.0,1.0,"Corporate"
0.0,10.0,0.0,"Corporate"
1.0,8.0,2.0,"Corporate"
1.0,9.0,1.0,"Corporate"
1.0,7.0,2.0,"Corporate"
1.0,6.0,3.0,"Corporate"
0.0,7.0,4.0,"Corporate"
0.0,8.0,2.0,"Corporate"
1.0,7.0,1.0,"Corporate"
1.0,6.0,1.0,"Corporate"
0.0,9.0,2.0,"Corporate"
1.0,6.0,4.0,"Corporate"
0.0,8.0,1.0,"Corporate"
1.0,6.0,2.0,"Corporate"
0.0,9.0,0.0,"Corporate"
0.0,8.0,2.0,"Corporate"
1.0,8.0,2.0,"Corporate"
1.0,8.0,1.0,"Corporate"
2.0,6.0,2.0,"Corporate"
0.0,7.0,2.0,"Corporate"
3.0,5.0,3.0,"Corporate"
1.0,7.0,2.0,"Corporate"
0.0,7.0,4.0,"Service"
1.0,7.0,2.0,"Service"
0.0,9.0,2.0,"Service"
0.0,7.0,1.0,"Service"
2.0,5.0,3.0,"Service"
1.0,6.0,2.0,"Service"
1.0,7.0,2.0,"Service"
0.0,8.0,2.0,"Service"
2.0,6.0,2.0,"Service"
0.0,8.0,2.0,"Service"
1.0,5.0,2.0,"Service"
0.0,7.0,0.0,"Service"
0.0,9.0,1.0,"Service"
1.0,7.0,2.0,"Service"
1.0,9.0,0.0,"Service"
0.0,7.0,0.0,"Service"
1.0,5.0,2.0,"Service"
0.0,6.0,4.0,"Service"
0.0,6.0,2.0,"Service"
0.0,4.0,0.0,"Service"
1.0,7.0,0.0,"Service"
1.0,7.0,1.0,"Service"
1.0,4.0,2.0,"Service"
0.0,7.0,2.0,"Service"
3.0,3.0,3.0,"Service"
0.0,5.0,2.0,"Service"
0.0,4.0,2.0,"Service"
0.0,7.0,2.0,"Service"
1.0,8.0,0.0,"Service"
0.0,10.0,2.0,"Service"
0.0,9.0,1.0,"Service"
0.0,6.0,2.0,"Service"
0.0,10.0,0.0,"Service"
0.0,11.0,0.0,"Service"
2.0,6.0,1.0,"Service"
0.0,7.0,0.0,"Service"
0.0,6.0,1.0,"Service"
0.0,9.0,1.0,"Service"
1.0,5.0,4.0,"Service"
0.0,8.0,2.0,"Service"
3.0,5.0,2.0,"Service"
0.0,7.0,1.0,"Service"
2.0,14.0,6.0,"Service"
1.0,5.0,2.0,"Service"
0.0,6.0,3.0,"Service"
2.0,6.0,1.0,"Service"
0.0,5.0,3.0,"Service"
2.0,14.0,7.0,"Service"
0.0,7.0,2.0,"Service"
0.0,8.0,1.0,"Service"
1.0,5.0,2.0,"Service"
0.0,6.0,3.0,"Service"
0.0,8.0,1.0,"Service"
1.0,5.0,2.0,"Service"
2.0,3.0,3.0,"Service"
0.0,8.0,1.0,"Service"
1.0,5.0,2.0,"Service"
0.0,7.0,3.0,"Service"
1.0,7.0,2.0,"Service"
0.0,8.0,2.0,"Service"
0.0,7.0,3.0,"Service"
0.0,8.0,3.0,"Service"
2.0,15.0,4.0,"Service"
0.0,7.0,1.0,"Service"
0.0,7.0,3.0,"Service"
2.0,5.0,3.0,"Service"
0.0,6.0,0.0,"Service"
0.0,6.0,3.0,"Service"
0.0,10.0,1.0,"Service"
0.0,6.0,2.0,"Service"
0.0,8.0,2.0,"Service"
0.0,6.0,2.0,"Service"
0.0,7.0,2.0,"Service"
0.0,7.0,1.0,"Service"
0.0,7.0,1.0,"Service"
1.0,4.0,2.0,"Service"
0.0,9.0,1.0,"Service"
0.0,4.0,2.0,"Service"
1.0,5.0,2.0,"Service"
0.0,8.0,3.0,"Service"
0.0,7.0,2.0,"Service"
1.0,6.0,3.0,"Service"
0.0,7.0,3.0,"Service"
0.0,8.0,2.0,"Service"
0.0,8.0,1.0,"Service"
0.0,7.0,2.0,"Service"
0.0,6.0,1.0,"Service"
0.0,7.0,2.0,"Service"
0.0,9.0,1.0,"Service"
0.0,6.0,2.0,"Service"
0.0,8.0,3.0,"Service"
2.0,5.0,1.0,"Service"
2.0,6.0,1.0,"Service"
0.0,7.0,2.0,"Service"
2.0,8.0,1.0,"Service"
1.0,8.0,1.0,"Service"
2.0,5.0,3.0,"Service"
0.0,6.0,4.0,"Service"
1.0,6.0,0.0,"Service"
0.0,8.0,1.0,"Service"
2.0,7.0,1.0,"Service"
1.0,5.0,2.0,"Service"
0.0,8.0,2.0,"Service"
0.0,8.0,3.0,"Service"
4.0,4.0,3.0,"Service"
0.0,9.0,1.0,"Service"
3.0,5.0,2.0,"Service"
0.0,9.0,2.0,"Service"
0.0,8.0,3.0,"Service"
0.0,9.0,2.0,"Service"
0.0,9.0,2.0,"Service"
0.0,9.0,2.0,"Service"
3.0,7.0,0.0,"Service"
0.0,8.0,1.0,"Service"
2.0,5.0,3.0,"Service"
1.0,8.0,2.0,"Service"
0.0,8.0,2.0,"Service"
1.0,7.0,3.0,"Service"
1.0,7.0,3.0,"Service"
